"","mybfittimes","myantstimes"
"1",1301.25,6130.042
"2",1190.877,6010.955
"3",1060.32,6030.794
"4",1086.19,5916.765
"5",1026.559,5931.499
"6",1132.851,6126.644
"7",1251.195,5914.665
"8",1399.445,5967.501
"9",25.614999999998,4.63300000000163
"10",1340.882,5978.007
